Area Code (FAO),Area,Area_jp,lat,lon,Item,Value
7,Angola,アンゴラ,-8.8179857,13.2358495,コーヒー豆,10878
9,Argentina,アルゼンチン,-34.6081414,-58.3737025,茶葉,31456
52,Azerbaijan,アゼルバイジャン,40.3670397,49.8320385,茶葉,822
23,Belize,ベリーズ,17.2513889,-88.7669444,カカオ豆,390
23,Belize,ベリーズ,17.2513889,-88.7669444,コーヒー豆,200
19,Bolivia (Plurinational State of),ボリビア,-16.4990099,-68.146248,カカオ豆,10806
19,Bolivia (Plurinational State of),ボリビア,-16.4990099,-68.146248,コーヒー豆,29646
19,Bolivia (Plurinational State of),ボリビア,-16.4990099,-68.146248,茶葉,338
21,Brazil,ブラジル,-15.7801482,-47.9291698,カカオ豆,419162
21,Brazil,ブラジル,-15.7801482,-47.9291698,コーヒー豆,8798181
21,Brazil,ブラジル,-15.7801482,-47.9291698,茶葉,219
29,Burundi,ブルンジ,-3.3751554,29.3642066,コーヒー豆,4086
29,Burundi,ブルンジ,-3.3751554,29.3642066,茶葉,2992
115,Cambodia,カンボジア,11.5762481,104.9168018,コーヒー豆,2487
32,Cameroon,カメルーン,3.8666667,11.5166667,カカオ豆,624981
32,Cameroon,カメルーン,3.8666667,11.5166667,コーヒー豆,30685
351,China,中華人民共和国,39.9046496,116.7184868,コーヒー豆,299495
351,China,中華人民共和国,39.9046496,116.7184868,茶葉,14293638
44,Colombia,コロンビア,4.5980556,-74.0758333,カカオ豆,162833
44,Colombia,コロンビア,4.5980556,-74.0758333,コーヒー豆,2082044
46,Congo,コンゴ共和国,-4.2666667,15.2833333,カカオ豆,2809
46,Congo,コンゴ共和国,-4.2666667,15.2833333,コーヒー豆,1396
48,Costa Rica,コスタリカ,9.927128,-84.082012,カカオ豆,464
48,Costa Rica,コスタリカ,9.927128,-84.082012,コーヒー豆,232187
107,Côte d'Ivoire,コートジボワール,6.8166667,-5.2833333,カカオ豆,2956894
107,Côte d'Ivoire,コートジボワール,6.8166667,-5.2833333,コーヒー豆,108998
56,Dominican Republic,ドミニカ共和国,18.5,-69.9833333,カカオ豆,204702
56,Dominican Republic,ドミニカ共和国,18.5,-69.9833333,コーヒー豆,20057
58,Ecuador,エクアドル,-0.2166667,-78.5166667,カカオ豆,775305
58,Ecuador,エクアドル,-0.2166667,-78.5166667,コーヒー豆,7339
58,Ecuador,エクアドル,-0.2166667,-78.5166667,茶葉,6507
60,El Salvador,エルサルバドル,13.7025001,-89.1891719,カカオ豆,1237
60,El Salvador,エルサルバドル,13.7025001,-89.1891719,コーヒー豆,126600
61,Equatorial Guinea,赤道ギニア,3.75,8.7833333,カカオ豆,3635
61,Equatorial Guinea,赤道ギニア,3.75,8.7833333,コーヒー豆,7102
238,Ethiopia,エチオピア,9.0346684,38.7508585,コーヒー豆,712879
